num_etagere type etage taille num_batch date_begin
1 P 1 4 5 27/07/2023
1 P 2 4 5 27/07/2023
1 P 3 4 5 27/07/2023
1 P 4 4 6 27/07/2023
1 P 5 4 6 27/07/2023
1 P 6 4 6 27/07/2023
2 P 1 3 6 27/07/2023
2 P 2 3 6 27/07/2023
2 P 3 3 6 27/07/2023
2 P 4 3 6 27/07/2023
2 P 5 4 6 27/07/2023
2 P 5 4 6 27/07/2023
3 J 1 3 1 01/07/2023
3 J 2 3 1 01/07/2023
3 J 3 3 1 01/07/2023
3 P 4 3 6 27/07/2023
3 P 5 3 6 27/07/2023
4 P 1 4 6 27/07/2023
4 J 2 4 1 01/07/2023
4 J 3 4 1 01/07/2023
4 J 4 4 1 01/07/2023
4 J 5 4 1 01/07/2023
4 J 6 4 1 01/07/2023
5 J 1 3 0 29/06/2023
5 J 2 3 4 10/07/2023
5 J 3 3 4 10/07/2023
5 J 4 3 4 10/07/2023
5 J 5 3 4 10/07/2023
5 J 6 3 4 10/07/2023
6 J 1 4 0 06/07/2023
6 J 2 4 0 29/06/2023
6 J 3 4 0 04/07/2023
6 J 4 4 1 01/07/2023
6 J 5 4 0 04/07/2023
6 J 6 4 0 04/07/2023
7 J 1 4 0 06/06/2023
7 J 2 4 4 10/07/2023
7 J 3 4 0 04/07/2023
7 J 4 4 0 04/07/2023
7 J 5 4 0 04/07/2023
7 J 6 4 0 04/07/2023
