num_etagere type etage taille num_batch date_begin
1 2 1 4 3 06/07/2023
1 2 2 4 3 06/07/2023
1 2 3 4 3 06/07/2023
1 2 4 4 3 06/07/2023
1 2 5 4 3 06/07/2023
1 2 6 4 3 06/07/2023
2 2 1 3 3 06/07/2023
2 1 2 3 0 29/06/2023
2 1 3 3 0 29/06/2023
2 1 4 3 2 04/07/2023
2 1 5 4 2 04/07/2023
2 1 5 4 2 04/07/2023
3 1 1 3 1 01/07/2023
3 1 2 3 1 01/07/2023
3 1 3 3 1 01/07/2023
3 1 4 3 0 29/06/2023
3 1 5 3 0 29/06/2023
4 1 1 4 0 29/06/2023
4 1 2 4 1 01/07/2023
4 1 3 4 1 01/07/2023
4 1 4 4 1 01/07/2023
4 1 5 4 1 01/07/2023
4 1 6 4 1 01/07/2023
5 1 1 3 0 29/06/2023
5 1 2 3 4 10/07/2023
5 1 3 3 4 10/07/2023
5 1 4 3 4 10/07/2023
5 1 5 3 4 10/07/2023
5 1 6 3 4 10/07/2023
6 1 1 4 3 06/07/2023
6 1 2 4 0 29/06/2023
6 1 3 4 2 04/07/2023
6 1 4 4 1 01/07/2023
6 1 5 4 2 04/07/2023
6 1 6 4 2 04/07/2023
7 1 1 4 0 06/06/2023
7 1 2 4 4 10/07/2023
7 1 3 4 2 04/07/2023
7 1 4 4 2 04/07/2023
7 1 5 4 0 04/07/2023
7 1 6 4 0 04/07/2023


